"";"x"
"1";10
"2";422
"3";943
"4";852
"5";863
"6";859
"7";875
"8";873
"9";884
"10";871
"11";873
"12";874
"13";867
"14";875
"15";860
"16";875
"17";885
"18";865
"19";866
"20";873
"21";875
"22";875
"23";854
"24";874
"25";866
"26";856
"27";874
"28";873
"29";874
"30";858
"31";889
"32";868
"33";890
"34";863
"35";872
"36";875
"37";866
"38";880
"39";873
"40";879
"41";877
"42";860
"43";875
"44";858
"45";872
"46";869
"47";886
"48";878
"49";877
"50";872
"51";881
"52";868
"53";871
"54";874
"55";874
"56";868
"57";872
"58";873
"59";860
"60";878
"61";872
"62";872
"63";870
"64";874
"65";878
"66";871
"67";871
"68";863
"69";871
"70";851
"71";869
"72";878
"73";880
"74";869
"75";866
"76";879
"77";861
"78";876
"79";853
"80";879
"81";870
"82";879
"83";862
"84";871
"85";885
"86";863
"87";870
"88";887
"89";855
"90";859
"91";871
"92";881
"93";878
"94";885
"95";861
"96";868
"97";885
"98";868
"99";859
"100";859
