"";"x"
"1";10
"2";9
"3";7
"4";8
"5";59
"6";91
"7";78
"8";106
"9";138
"10";150
"11";163
"12";180
"13";198
"14";213
"15";220
"16";189
"17";202
"18";203
"19";180
"20";189
"21";193
"22";210
"23";223
"24";232
"25";239
"26";228
"27";224
"28";225
"29";234
"30";242
"31";211
"32";223
"33";217
"34";226
"35";237
"36";205
"37";231
"38";238
"39";248
"40";256
"41";237
"42";198
"43";201
"44";212
"45";223
"46";237
"47";208
"48";224
"49";233
"50";231
"51";230
"52";198
"53";203
"54";210
"55";177
"56";186
"57";190
"58";173
"59";179
"60";203
"61";215
"62";214
"63";183
"64";198
"65";193
"66";188
"67";183
"68";196
"69";201
"70";212
"71";224
"72";233
"73";248
"74";248
"75";210
"76";208
"77";216
"78";230
"79";224
"80";223
"81";193
"82";196
"83";201
"84";200
"85";213
"86";182
"87";199
"88";223
"89";223
"90";211
"91";214
"92";182
"93";202
"94";222
"95";227
"96";245
"97";244
"98";254
"99";216
"100";222
