"";"x"
"1";10
"2";16
"3";25
"4";32
"5";41
"6";47
"7";56
"8";61
"9";71
"10";83
"11";79
"12";86
"13";108
"14";133
"15";152
"16";167
"17";202
"18";214
"19";239
"20";263
"21";289
"22";322
"23";357
"24";380
"25";400
"26";446
"27";458
"28";477
"29";486
"30";496
"31";508
"32";486
"33";493
"34";495
"35";518
"36";530
"37";534
"38";543
"39";549
"40";544
"41";546
"42";531
"43";531
"44";543
"45";524
"46";517
"47";540
"48";544
"49";558
"50";558
"51";554
"52";541
"53";554
"54";557
"55";567
"56";561
"57";575
"58";582
"59";570
"60";557
"61";538
"62";530
"63";525
"64";551
"65";556
"66";558
"67";555
"68";549
"69";547
"70";559
"71";561
"72";561
"73";572
"74";548
"75";558
"76";566
"77";553
"78";554
"79";554
"80";548
"81";545
"82";564
"83";576
"84";562
"85";569
"86";575
"87";570
"88";579
"89";560
"90";545
"91";567
"92";571
"93";577
"94";566
"95";564
"96";553
"97";562
"98";555
"99";546
"100";552
